CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Sunil H K,ECO-61427,"Prod:Plugefst(Optics): ECO to Release below SKU's and its child items to ""production"" lifecycle.

-SKU Name: Release to production lifecycle
QSFP-100G-LRBD-U
QSFP-100G-LRBD-D

-Update the weight and dimension details on the cover page as per the attached ""Dimensions and Weight Details_QSFP-100G.xlsx""

- Add CLEI-IPU3BJDHAA into 740-173674 BOM.

-Update the CLEI code details for SKU: QSFP-100G-LRBD-D as below.
Number	                        Barcode/ECI	  CLEI Code	            CPR
QSFP-100G-LRBD-D-A	    1B4521	  IPU3BJDHAA	    U72KUA

-HTR-5001 is provided in the attachment section.

PDC Note: Wt & Dm will be updated for SKUs post approval before ECO release.","Releasing to ""production"" lifecycle for the QSFP-100G-LRBD-U and QSFP-100G-LRBD-D",40:11.0
Sarangabani S,ECO-61212,"Prod: SKU's, QFX5120-48YM- Pyrite and EX4300 Mojito Copper Update per the Affected Items Section.

1. For Pyrite QFX5120-48YM models

QFX5120-48YM-AFI
QFX5120-48YM-AFO
QFX5120-48YM-CHAS
QFX5120-48YM-DC-AI
QFX5120-48YM-DC-AO

- Delete Junos 22.2R3-S4.7. Software P/N 817-182566. Filename: install-media-host9-pxe-qfx-5e-ng-flex-x86-64-22.2R3-S4.7-secure-signed.tgz
- Add Junos 23.4R2-S2. Software P/N 817-185245. Filename: install-media-host9-pxe-qfx-5e-ng-flex-x86-64-23.4R2-S2.1-secure-signed.tgz

2. For Mojito EX4300 models

EX4300-24P
EX4300-24P-S
EX4300-24P-TAA
EX4300-24T
EX4300-24T-S
EX4300-24T-TAA
EX4300-48P
EX4300-48P-S
EX4300-48P-TAA
EX4300-48T
EX4300-48T-AFI
EX4300-48T-AFI-TAA
EX4300-48T-DC
EX4300-48T-DC-AFI
EX4300-48T-DC-TAA
EX4300-48T-DCI-TAA
EX4300-48T-S
EX4300-48T-TAA

- Delete Junos 21.4R3-S6 software 810-180120. Filename:jinstall-ex-4300-21.4R3-S6.5-signed.tgz
- Add Junos 21.4R3-S8 software 810-184211. Filename:jinstall-ex-4300-21.4R3-S8.5-signed.tgz

Note:
- New shippable Junos release, regression report / test log as attached.","1. Pyrite update shippable Junos from 22.2R3-S4.7 to 23.4R2-S2
2. Mojito Copper replace 21.4R3-S6 with 21.4R3-S8 shippable Junos on EX4300-24/48 P/T platforms.",07:57.0
Richard Hood,ECO-61455,"Prod/Prelim: SKU's, EX-Emerald, EX-Gollum: Update per the Affected Items Section.

ECO for updating Junos for EX4100.

1. For the following EX4100 SKU's:
------------------------------------
EX4100-24MP
EX4100-24MP-CHAS
EX4100-24MP-TAA
EX4100-24P
EX4100-24P-CHAS
EX4100-24P-TAA
EX4100-24T
EX4100-24T-CHAS
EX4100-24T-DC
EX4100-24T-DC-TAA
EX4100-24T-TAA
EX4100-48MP
EX4100-48MP-CHAS
EX4100-48MP-TAA
EX4100-48P
EX4100-48P-CHAS
EX4100-48P-TAA
EX4100-48T
EX4100-48T-AFI
EX4100-48T-AFI-TAA
EX4100-48T-CHAS
EX4100-48T-DC
EX4100-48T-DC-T1
EX4100-48T-DC-TAA
EX4100-48T-TAA
EX4100-48T-TCHAS
EX4100-F-12P
EX4100-F-12P-TAA
EX4100-F-12T
EX4100-F-12T-TAA
EX4100-F-24P
EX4100-F-24P-TAA
EX4100-F-24T
EX4100-F-24T-TAA
EX4100-F-48P
EX4100-F-48P-TAA
EX4100-F-48T
EX4100-F-48T-TAA

- Delete Junos 22.4R3.25. Software P/N 811-179455. Filename: junos-install-media-net-ex-arm-64-22.4R3.25.tgz
- Add Junos 22.4R3-S3.3. Software P/N 811-183967. Filename: junos-install-media-net-ex-arm-64-22.4R3-S3.3.tgz

Notes:
1. Validation passed log is on ""Attachments"" page. (.cap can be opened with Wordpad).
2. During regression, encountered major alarm after upgrading POE software.  Added a Power Cycle then alarm gone. Power Cycle is acceptable after software upgrade.",Update Junos software as per SW engineering recommendation.,51:33.0
Prameela R,ECO-61432,"Prod: Production Release Of QFX-Glendronach Allardice TAA SKUs And Associated Child Assemblies Per Affected Items Section.

1] Transition the below SKUs to production lifecycle:
QFX5700E-BASE-AC-T
QFX5700E-BASE-DC-T

2] Update Title page for SN mask and Weight & Dimensions for the affected SKUs:
Serialization(*):Yes
Serial Number Mask:QFX5700-xxxx (QFX5700 Family)|'JN'@@@@@@@'JHA'
Install Base Required:Yes
Dimensions UOM:IN
Dimensions Length:24
Dimensions Width:19
Dimensions Height:8.8
Weight UOM:lb
Product weight (in lbs):110
Packaged Weight (in lbs)::110
Aluminum:0
Cardboard:0
Corrugated:0
Paper:0
Plastic:0
Product Steel band and wire:0
Product Steel drums:0
Product Steel plate:0
Wood:0
Wood pallets:0

PDC Note: FRS date, SN mask, weights and dimensions will be set post approvals, prior to eco release.",Production release of Glendronach Allardice TAA SKUs,02:09.0
Sunil H K,ECO-61406,"Prod: Update ECO Work Instructions and Global Change Management Approver and Observer Matrix Per Affected Items Section.

1] J2.05.P05.W01 ECO Work Instructions: Rev 50
- Updated  Section 9.3.1 TAB Process step 19 - Added reference for TAB status approval matrix.
- Updated Section 9.3.1 TAB Process steps 18 & 29 to include Cost consolidation, Locking and Unlocking automation.
- Updated Section 9.3.1 TAB Process steps 31 to include reference for Repair Routing Guide in PDC SharePoint.
- Added 9.3.2 section for Error Handling in TAB Process Automation.
- Updated Section 9.4 External Cost Fields to include new field  “CMx JOI Scrap Cost”.
- Updated Section 9.4 Internal Cost Fields to include new fields “CM/ODM/Supplier Owned Cost” & “JOI Estimated Scrap Cost” & “Actual Depot Purge completion date”.
- Section 9.4: Updated ECO Cost Rollup tool formula calculation table.
- Updated Section 9 Ref Info: PDC/System Fields - Added additional list options and their definitions under Reasons for Delay field.

2] J2.05.P05.M02 Global Change Management Approver and Observer Matrix: Rev 37
- Updated section 6 “ECO Approvers and Observers” matrix to include TAB status approvers and Observers.
- Updated section 8.6 Added “Service PLM Review Group” as an approver to Open Books Release/ Order Management Flag update Matrix.",#NAME?,40:35.0
Girija Amaragol,M38746,"Proto: This mco is to update Add the following AVL to following SKUs.

SKUs:
--------
EX4000-12-CGD 
EX4000-8-CGD

- Add DOF-EIMILUSROWFGI , DOF-EIAMSBONDFGI & US-FGIPURCH as AVL

Note: Requestor's email as in Attachment",Support order management,12:24.0
Sherry Nguyen,M38429,"Prod: Update the Short and Long description. Update per the Affected Items Section.

ACX7300-FRPNL:
- Long Description: ACX7348/ACX7332 3RU Front Panel with Air Filter, Spare
- Short Description: ACX7300 3RU Front Panel with FLTR, Spare

PDC Note: PDC will update the Short and Long description before release of this MCO.",SKU description changes,16:13.0
Prameela R,M38759,"Proto: Open Books (PP) for SRX-Casino Royale Product Number Per Affected Items.

Set Order Management Flag to PP-Available to Order for: 
JNP-SSD-1TB
JNP-SSD-2TB
SRX4700-CHAS
SRX4700-FAN-1RU
CBL-SRX-PWR-C19-IN
CBL-SRX-PWR-C19-NA
CBL-SRX-PWR-C19-SK
CBL-SRX-PWR-C19-TW

Note:
1] Order Management flag will be set to PP-Available to Order post approvals, prior to release.
2] Attached product number key field validation report for reference.",Open-Books required to enable bookings in SAP.,41:42.0
Girija Amaragol,DEV-24817,"Prod: The purpose of this Deviation is to allow FOXCONN-VIETNAM  to make the following part substitutions for qualification purposes.

A. 230-073097->711-070910->750-072571->750-086583->MX2K-MPC11E
     230-073097->711-070865->750-070866->SCBE3-MX-S
    230-073097->711-166103->750-166104->MIC-3D-10GE-SFP-E
- >Substitute JPN:230-073097 with KEMET  MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 update from KEMET - change copper wires manufacture for Power Inductor.

B. Mfg. Partner to work request MFR free of charge samples that will be shipped to Mfg. Partner directly from MFR, Mfg. Partner shall copy Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN & CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator on all samples related communication with MFRs.

C>. Factory Instructions:
  C1>. Qualification build: build enough line card to fully load 2 systems MX2020 for each supplier part
    Replace  JPN:230-073097 with KEMET  MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 on the following assembly:
   1. 230-073097->711-070910->750-072571->750-086583->MX2K-MPC11E - Required Assy Qty 10 @ loc L380
   2. 230-073097->711-070865->750-070866->SCBE3-MX-S- Required Assy Qty 10 @ loc L11401
  
  C1B>. All Qual Assemblies need to go through full MFG test prior to DVT test at CM.
   1. 230-073097->711-070910->750-072571->750-086583->MX2K-MPC11E - Required Assy Qty 10 @ loc L380
   2. 230-073097->711-070865->750-070866->SCBE3-MX-S- Required Assy Qty 10 @ loc L11401

Suggest to include below711/750/SKU if available to rework existing FIG inventory per above qual plan
230-073097->711-166103->750-166104->MIC-3D-10GE-SFP-E @ loc L33000

C1C>. DVT Per PROC-8423 Test Plan, Tested at CM for:
1. 230-073097->711-070910->750-072571->750-086583->MX2K-MPC11E - Required Assy Qty 10 @ loc L380
   2. 230-073097->711-070865->750-070866->SCBE3-MX-S- Required Assy Qty 10 @ loc L11401

C1D>. power cycle test for 10 cycles at room temp with an off interval of 5 min b/w each cycle

C2>. Qualification samples will be only new build

C3>. Qualification units need to go through standard Manufacturing and Test processes with the following specific actions:

         - Install DEV-24817  label on all qual sample assemblies.
         - Record all serial numbers with DEV label and put on the NO SHIP list.         -
         - Send the product test yield reports as soon as all units have completed Mfg tests
           to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net and the DEV Originator.  
         - Ensure email header subject line indicates the Qual DEV#, JPN, when shipped to Juniper testing.  

C4>. The qualification assembly, not used for DVT, shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5>.After completion of DVT, prepare and review Test Report.
     Email results to CM-DVT-HTR alias CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net and the DEV Originator.  
     Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D>.Completion / Closure
    The qualification units are not to be used for any other DVT or customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO/MCO has been signed off.


NOTE: SW test is not required",New AVL to be qualified: KEMET  MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 update from KEMET - change copper wires manufacture for Power Inductor.,13:38.0
Abel Alcantar,DEV-25259,"Prod: 740-070983, Assy, OEM, DRAM, RDIMM, DDR4-2400, 8GB, 1Gx72, 1200MHz, Single Rank, Registered, ECC, 288P, 1.2V, CT: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

740-070983->650-070887->NFX250-LS1 (QTY=2)
740-070983->650-075319->NFX150-S1  (QTY=2)
740-070983->650-078100->650-078099->EX4300-48MP (QTY=2)

B. Sample Procurement Instructions:
Accton Taiwan to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM. Mfg Partner to contact Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN. In all emails to GCM, please also copy CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator.

C. Factory Instructions:

C1>. Qualification build:
Replace JPN:740-070983, ATP: X4B08QD8BNRCME-R-JP1 with SMART Modular: SR5721G8JNP24KP1SG in all locations on the following assemblies:
   1. 740-070983->650-070887->NFX250-LS1 - Required Assy Qty two (2).
   2. 740-070983->650-075319->NFX150-S1 - Required Assy Qty two (2).
   3  740-070983->650-078100->650-078099->EX4300-48MP - Required Assy Qty two (2).

C1B>.  All Qual Assemblies need to go through full MFG test prior to DVT test at ODM.
   1. 740-070983->650-070887->NFX250-LS1 - Required Test Qty two (2).
   2. 740-070983->650-075319->NFX150-S1 - Required Test Qty two (2).
   3  740-070983->650-078100->650-078099->EX4300-48MP - Required Test Qty two (2).

C1C>.  DVT at ODM for:
   1. 740-070983->650-070887->NFX250-LS1 - Required Test Qty two (2).
   2. 740-070983->650-075319->NFX150-S1 - Required Test Qty two (2).
   3  740-070983->650-078100->650-078099->EX4300-48MP - Required Test Qty two (2).

C1D>.  SW Certification test at Juniper is NOT required.

C2. Qualification boards can be new build or FGI.  

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25259 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, nguyenq@juniper.net, and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT, if applicable.

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net, nguyenq@juniper.net for Approval and copy DEV originator before performing DVT.
After approval, CE will request PDC to upload Accton Qual plan to DEV Attachment.

C6. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR-reports@juniper.net, nguyenq@juniper.net, and the DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM.,55:06.0
Girija Amaragol,DEV-24895A,"Inactive/Prod/Proto: This DEV is to allow Flex Penang to use old date code inventory for oscillator/crystal  (per attached PN) to support production.

240-003098
240-014105
240-024974
240-026130
240-053071
240-060695
240-066862
240-069945
240-079738
240-112390
240-115912
240-126496
240-139985
240-151747
240-156379
240-167168
240-054786

No deviation label required.","Reason for extension: 04/16/2025: : FMY still have qty to deplete.

PN: 240-003098, DC: 2242, Qty: 358, MFG PN: CB3LV-3C-25M000000
PN: 240-024974, DC: 2239, Qty: 56, MFG PN: MO18R-1009-33.333M
PN: 240-026130, DC: 2248, Qty: 10, MFG PN: 531AB156M250DGR
PN: 240-060695, DC: 2242, Qty: 128, MFG PN: 7M14377002
PN: 240-115912, DC: 2105, Qty: 14, MFG PN: 7X02070003
PN: 240-139985, DC: 2217, Qty: 145, MFG PN: 8W48070009
PN: 240-167168, DC: 2212, Qty: 92, MFG PN: SIT1602BI-71-33S-77.760000E

This DEV is to allow Flex Penang to use old date part to support production.

PN: 240-003098, DC: 2242, Qty: 358, MFG PN: CB3LV-3C-25M000000 ,MFG: CTS , Remark: Above 21 months
PN: 240-014105, DC: 2240, Qty: 37, MFG PN: VCC6-QCB-125M000000TR ,MFG: MICROCHIP , Remark: 24 months and above
PN: 240-024974, DC: 2239, Qty: 56, MFG PN: MO18R-1009-33.333M ,MFG: IMPACT LLC , Remark: 24 months and above
PN: 240-026130, DC: 2248, Qty: 10, MFG PN: 531AB156M250DGR ,MFG: SKYWORKS , Remark: Above 21 months
PN: 240-053071, DC: 2215, Qty: 17, MFG PN: 531EC125M000DGR ,MFG: SKYWORKS , Remark: 24 months and above
PN: 240-054786, DC: 2226, Qty: 3000, MFG PN: 9H03200031 ,MFG: TXC , Remark: 24 months and above
PN: 240-060695, DC: 2242, Qty: 192, MFG PN: 7M14377002 ,MFG: TXC , Remark: Above 21 months
PN: 240-066862, DC: 2110, Qty: 140, MFG PN: 511ACA25M0000AAG ,MFG: SKYWORKS , Remark: 24 months and above
PN: 240-069945, DC: 2238, Qty: 264, MFG PN: 9H03277011 ,MFG: TXC , Remark: 24 months and above
PN: 240-079738, DC: 2134, Qty: 672, MFG PN: 7X33070001 ,MFG: TXC , Remark: 24 months and above
PN: 240-112390, DC: 2110, Qty: 16, MFG PN: 7X25000056 ,MFG: TXC , Remark: 24 months and above
PN: 240-115912, DC: 2105, Qty: 69, MFG PN: 7X02070003 ,MFG: TXC , Remark: 24 months and above
PN: 240-126496, DC: 2247, Qty: 75, MFG PN: FL2500316Z ,MFG: DIODES , Remark: Above 21 months
PN: 240-139985, DC: 2217, Qty: 665, MFG PN: 8W48070009 ,MFG: TXC , Remark: 24 months and above
PN: 240-151747, DC: 2237, Qty: 11, MFG PN: UX21480001 ,MFG: DIODES , Remark: 24 months and above
PN: 240-156379, DC: 2241, Qty: 131, MFG PN: UF32A00001 ,MFG: DIODES , Remark: Above 21 months
PN: 240-167168, DC: 2212, Qty: 92, MFG PN: SIT1602BI-71-33S-77.760000E ,MFG: SITIME , Remark: 24 months and above",56:28.0
Abel Alcantar,DEV-25274,"Prod: 740-054324,Assy, OEM, DRAM, VLP RDIMM, DDR4-2133, 16GB, 2Gx72, 1067MHz, Dual Rank, Registered, ECC, 288P, 1.2V, C-Temp
The purpose of this Deviation is to allow Flex Penang (FMY) to make the following part substitutions for qualification purposes.

This Deviation supersedes DEV-25128 due to incorrect Affected Item list.

A. Qual Assemblies:

740-054324->750-100243->750-174928->PTX10001-36MR-AC (Build Qty=2)
Substitute 740-054324 with ATP: D416G0RD218HGSC-JNP1 at all locations (Qty=1)
Substitute 740-054324 with INNODISK: M4RE-AGS1DCSJ-GB553 at all locations (Qty=1)

740-054324->750-175198->750-175197->750-175631->PTX10001-36MRKAC-T (Build Qty=2)
Substitute 740-054324 with ATP: D416G0RD218HGSC-JNP1 at all locations (Qty=1)
Substitute 740-054324 with INNODISK: M4RE-AGS1DCSJ-GB553 at all locations (Qty=1)

B. Sample Procurement Instructions:
FMY to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM.

C. Factory Instructions:
C1. Qualification 740-054324->750-100243->750-174928->PTX10001-36MR-AC; QTY=1 unit for ATP and 1 unit for INNODISK.
a. 740-054324->750-100243->750-174928->PTX10001-36MR-AC; CM DVT QTY=1 unit for ATP and 1 unit for INNODISK.
b. 740-054324->750-100243->750-174928->PTX10001-36MR-AC; SW CERT QTY=0 (Not Needed)

C1. Qualification 740-054324->750-175198->750-175197->750-175631->PTX10001-36MRKAC-T; QTY=1 unit for ATP and 1 unit for INNODISK.
a. 740-054324->750-175198->750-175197->750-175631->PTX10001-36MRKAC-T; CM DVT QTY=1 unit for ATP and 1 unit for INNODISK.
b. 740-054324->750-175198->750-175197->750-175631->PTX10001-36MRKAC-T; SW CERT QTY=1 unit for ATP and 1 unit for INNODISK.

C2. Qualification boards can be new build or FGI.  

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25274 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR reports CM-DVT-HTR-reports@juniper.net  and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5. Perform DVT, as per the Qty mentioned in C1 per:
- PROC-8423 (applicable for products released before 2020).
- PROC-9980 (applicable for products that FRS during and after 2020).

C6. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR alias CM-DVT-HTR-reports@juniper.net. and the DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.

See Special Instructions Section of DEV for shipping directions.",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM,05:02.0
Richard Hood,ECO-61140,"Prod: SKU's, EX-Aberlour, EX-Lagavulin, EX-Gollum: Update per the Affected Items Section.

1. On following Lagavulin SKU's:
EX4400-24MP
EX4400-24MP-S
EX4400-24MP-TAA
EX4400-24P
EX4400-24P-S
EX4400-24P-TAA
EX4400-24T
EX4400-24T-AFI
EX4400-24T-AFI-TAA
EX4400-24T-DC
EX4400-24T-DC-AFI
EX4400-24T-DC-TAA
EX4400-24T-S
EX4400-24T-TAA
EX4400-48F
EX4400-48F-AFI
EX4400-48F-AFI-TAA
EX4400-48F-DC
EX4400-48F-DC-AFI
EX4400-48F-DC-TAA
EX4400-48F-S
EX4400-48F-TAA
EX4400-48MP
EX4400-48MP-S
EX4400-48MP-TAA
EX4400-48P
EX4400-48P-S
EX4400-48P-TAA
EX4400-48T
EX4400-48T-AFI
EX4400-48T-AFI-TAA
EX4400-48T-DC
EX4400-48T-DC-AFI
EX4400-48T-DC-T1
EX4400-48T-DC-TAA
EX4400-48T-S
EX4400-48T-TAA
EX4400-48T-TS

- Delete Junos 22.4R3.25. Software P/N 811-179449. Filename: junos-install-media-usb-ex-x86-64-22.4R3.25.img.gz
- Add Junos 23.4R2-S2.1. Software P/N 811-185197. Filename: junos-install-media-usb-ex-x86-64-23.4R2-S2.1.img.gz

2. On following Aberlour SKU's:
EX4400-24X
EX4400-24X-AFI
EX4400-24X-AFI-TAA
EX4400-24X-AFO-TAA
EX4400-24X-DC
EX4400-24X-DC-AFI
EX4400-24X-S

- Delete Junos 23.2R1-S2.5. Software P/N 811-178325. Filename: junos-install-media-usb-ex-x86-64-23.2R1-S2.5.img.gz
- Add Junos 23.4R2-S2.1. Software P/N 811-185197. Filename: junos-install-media-usb-ex-x86-64-23.4R2-S2.1.img.gz

Note: Validation passed logs are in ""Attachments"" tab.",New Junos deployment as per SW Engineering recommendation.,22:00.0
Richard Hood,ECO-60829,"Prod: This ECO is for ""Selective purge of SVC Depot and Repair Center"" involving the following assemblies:

1) Affected assemblies:
711-065897
750-101823
750-101345

2) Affected SKUs:
JNP10K-RE1-E128
JNP10K-RE1-E

3) Instructions for SVC Depot and Repair Center:

A) SVC Depot:
- Verify the inventory against the serial numbers listed in the attached spreadsheet ""Dung_Scapa_Bin_File_Programming_issue_22nd_July[1].xlsx"".
- Ship affected boards to Repair Center.

B) Repair Center:

- 711-065897/750-101823/JNP10K-RE1-E128: reprogram EEprom with bin file: BIN-101825
- 711-065897/750-101345/JNP10K-RE1-E reprogram EEprom with with bin file: BIN-101345","The EEPROM content of JNP10K-RE1-E128 and JNP10K-RE1-E at offset 0x31 was programmed with wrong value ""0xff"" instead of ""0xfd"". This causes the ""mixed RE types"" alarm.",30:30.0
Richard Hood,ECO-60371,"Prod: 740-034724, 740-063043 Assy, Power Supplies, AC, SRX family: Proactive replacement of Delta FAN assembly in all 740-034724 (Non-RoHS) and 740-063043 (RoHS compliant) (QCS- DCJ41001-01P) with new FAN assembly in PEMs that are five years old.

1. This ECO applies to SVC depot and RMAs only.
2. This ECO only applies to those PEMs that are 5 years old from data of manufacture:
     740-034724 is SRX5800-PWR-4100-AC (Non-RoHS)
     740-063043 is SRX5800-PWR-4100-AC (RoHS compliant)
3. Please see CMX repair center- special instructions for identifying year and WW of QCS PEM assembly, replacing the fan assembly and labeling each new FAN assembly after installation.
4. JNPR part # and SKU minor rev roll.
5. CMX repair center to Keep record of all SNs of the PEMs that are replaced with FAN assembly.","Proactive replacement of Delta FAN assembly in all 740-034724 (Non-RoHS) and 740-063043 (RoHS compliant) (QCS- DCJ41001-01P ) with new FAN assembly in PEMs that are five years old. Proactive replacement is due to high PEM RMA retunes for FAN failures. Upon analysis it was found - FAN/s were failing due to ware out, dust, reaching life expectancy of the FAN.

This ECO is copy of ECO-41714, which was directed at the PWR-MX960-4100-AC-S, this ECO is directed at the SRX5800-PWR-4100-AC.",53:29.0
Girija Amaragol,M38762,"Prod: MCO for changing LC of AVL TTM TECHNOLOGIES INC-CHIPPEWA FALLS as per below details.

1. Change lifecycle of 511-101162 (TTM TECHNOLOGIES INC-CHIPPEWA FALLS) from ""Active"" to ""Hold""","Backdrill stub issue is identified in TTM PCB for Scapa. 
MPN need to be on hold until TTM is requalified for this part",24:43.0
Sherry Nguyen,M37342U,"***Revert back on 01/23/2025***

Closure of EOL Reactivation for HW - Inventory required from CM

Restore to EOL (Inactive) from SHIP (Production):
** already approved - please reactivate for booking ***

This change order is the continuation of M36771.
Orders are booked by single customer in multiple Sales orders.
Using new MCO number as we have ran out of alphabets.
Limit approvals to reactivation team.

EOL product: MX2K-MPC8E-RB    ---Qty 3
                       S-MPC8E-IR
                       S-MPC8E-R
Distributor: WESTCON SOLUTIONS (HK) LTD.
Enduser: SHENZHEN TENCENT CO. LTD.
Quote: 9465238

SCO Approval : Hana
Note : Account Manager agreed to e-license",Closure of EOL Reactivation for HW - Inventory required from CM,05:44.0
Girija Amaragol,DEV-25268,"Prod: EX4100-F-12P:  740-136665: This dev allows FVN to use 3.5k qty risk buy Delta PSU procured via Dev-25114 and qualified per Dev-25009  to support customer shipments in lieu of the forthcoming ECO. Below is the PSU details and SN list is attached for 2041 qty received at FVN, remaining 1459 qty will be received in March.

JPN: 740-136665 Rev 01C
MPN: ADP-280BR BG
Qty: 3500 units

Note: 1. Remaining 1459qty once received FVN needs to provide the SN list, which will be attached in the attachment section.
2. DEV label is required for the risk buy PSUs.
3. ECO number yet to be pulled up. ECO# will be referenced before expiring this DEV",Delta PSU qualified per Dev-25009 and allowed to build and hold per Dev-25114 to FVN are now allowed to use for customer shipments in this DEV for 3.5K qty as qual has been completed.,36:11.0
Girija Amaragol,DEV-25300,"Inactive/Preliminary/Prod/Proto: This DEV is to allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test.

1. JPN 240-007738
Description: Osc, 2.048MHz, 20ppm, 45/55, 3.3V, HCMOS, 15pF, Commercial Temp, OEH, SMT-4P, 5x7mm
MPN: VCC1-B3G-2M04800000
Supplier: MICROCHIP TECHNOLOGY
Total Qty to use: 798 psc
DC: 2247
Released required date: 01/21/2025

2. JPN 240-000108
Description: Osc, 66.667MHz, 100ppm, 45/55, 3.3V, HCMOS, 15pF, SMT-4P, 5x7x2mm
MPN: FO7HSCAE66.667-T1
Supplier: FOX ELECTRONICS
Total Qty to use: 1500 pcs
DC: 2229
Released required date: 01/21/2025

3. JPN 310-049847
Description: IC, FPGA, ECP3, 1.2V, LFE3-150EA-7FN, FBGA-672,ITemp, 27X27mm, SAC305
MPN: LFE3-150EA-7FN672I
Supplier: LATTICE SEMICONDUCTOR
Total Qty to use: 117 (DC 2228) + 71 pcs (DC 2234) + 291 pcs (DC 2239) + 200 pcs (DC 2240)
Released required date: 02/01/2025",To allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test,49:27.0
Richard Hood,ECO-61440,"Prod: SKU's, JNP10K-RE1-2, JUNOS-EVO, PTX10K4-PREM3: Update per the Affected Items Section.

Update shippable OS version 23.4R2-S2.3-EVO for PTX10004, PTX10008, PTX10016, JNP10K-RE1-E, JNP10K-RE1-E128, JNP10K-RE2-E128.

On following STD SKUs:
---------------------------------
1. JUNOS-EVO-64, JUNOS-EVO-64-BB:
- Add 811-185407, Qty=0
- Add ""PTX10004, PTX10008, PTX10016"" in the ""Ref Des"" field of 811-185407
- Add ""23.4R2-S2.3-EVO for PTX10004/PTX10008/PTX10016 system"" in the ""Notes"" field of 811-185407.

2. JNP10K-RE1-E:
- Delete 811-173489
- Add 811-185407 

3. JNP10K-RE1-E128, JNP10K-RE2-E128:
- Delete 811-180858
- Add 811-185407 

4. PTX10K4-PREM3-SCAC, PTX10K4-PREM3-SCDC:
- Delete 811-180858
- Add 811-185407

On following LTD SKUs:
--------------------------------
5. JUNOS-EVO-LTD-64, JUNOS-EVO-LTD64-BB:
- Add 811-185409, Qty=0
- Add ""PTX10004, PTX10008, PTX10016"" in the ""Ref Des"" field of 811-185409
- Add ""23.4R2-S2.3-EVO for PTX10004/PTX10008/PTX10016 system"" in the ""Notes"" field of 811-185409.

6. JNP10K-RE1-ELT:
- Delete 811-173491
- Add 811-185409

Note: Pass logs at the factory are in ""Attachments"" tab.","New OS updates for PTX10004, PTX10008 and PTX10016 systems and RE Spare as per SW engineering recommendation.",49:17.0
